Threads,Raw_Time,Smoothed_Time
831,0.0189998,0.0192381
832,0.0190001,0.0192381
833,0.016,0.0191429
834,0.0190001,0.0191429
835,0.023,0.0188571
836,0.016,0.0188571
837,0.023,0.0187619
838,0.0180001,0.0189524
839,0.017,0.019
840,0.0189998,0.0191429
841,0.0200002,0.0191905
842,0.016,0.0192381
843,0.0209999,0.0190952
844,0.016,0.0192857
845,0.0190001,0.0192857
846,0.0189998,0.0193333
847,0.0190001,0.0194762
848,0.0209999,0.0192381
849,0.017,0.0192857
850,0.0240002,0.0194762
851,0.0219998,0.0195714
852,0.02,0.0194286
853,0.016,0.0198095
854,0.02,0.0198572
855,0.0190001,0.0199524
856,0.0239999,0.0201429
857,0.0190001,0.02
858,0.0180001,0.0203333
859,0.0190001,0.0202381
860,0.0209999,0.020381
861,0.0210001,0.0202857
862,0.017,0.0202857
863,0.0239999,0.0203333
864,0.0220001,0.0205238
865,0.0179999,0.0204762
866,0.023,0.0205238
867,0.016,0.0201429
868,0.026,0.0202381
869,0.0190001,0.0201429
870,0.02,0.0203809
871,0.0220001,0.0203809
872,0.0219998,0.0202381
873,0.0210001,0.0205238
874,0.02,0.0202857
875,0.0190001,0.0201905
876,0.02,0.0205238
877,0.016,0.0204286
878,0.0209999,0.0206191
879,0.016,0.0206667
880,0.0239999,0.0205714
881,0.0209999,0.0209048
882,0.0180001,0.0208571
883,0.023,0.0206667
884,0.0190001,0.0207143
885,0.02,0.0206191
886,0.0250001,0.020619
887,0.0209999,0.0205714
888,0.02,0.0208095
889,0.0270002,0.0206667
890,0.017,0.0206667
891,0.027,0.0206191
892,0.0209999,0.0204286
893,0.0180001,0.0205238
894,0.0219998,0.0204286
895,0.0180001,0.0206191
896,0.0189998,0.0206191
897,0.0190001,0.0204286
898,0.0209999,0.0204762
899,0.0180001,0.020381
900,0.016,0.0201429
901,0.023,0.0202381
902,0.017,0.0198571
903,0.02,0.0197619
904,0.0210001,0.0198571
905,0.023,0.0196667
906,0.02,0.0197143
907,0.0209999,0.0197619
908,0.0220001,0.0198095
909,0.0179999,0.0196667
910,0.0220001,0.0196667
911,0.0189998,0.0197143
912,0.0190001,0.0196667
913,0.0190001,0.0198095
914,0.02,0.0197143
915,0.0180001,0.0195238
916,0.0189998,0.0192381
917,0.02,0.0191429
918,0.02,0.0192381
919,0.0180001,0.0190476
920,0.0180001,0.019
921,0.017,0.0188571
922,0.0219998,0.0190952
923,0.02,0.0190952
924,0.0180001,0.0190476
925,0.017,0.0189048
926,0.017,0.0190476
927,0.0179999,0.0188571
928,0.023,0.0188095
929,0.0179999,0.0187143
930,0.017,0.0186667
931,0.0190001,0.0188095
932,0.0239999,0.0190952
933,0.0190001,0.0190476
934,0.0180001,0.019
935,0.017,0.019
936,0.0209999,0.0193333
937,0.0149999,0.0194286
938,0.0190001,0.019381
939,0.0180001,0.0191429
940,0.017,0.019381
941,0.0209999,0.019381
942,0.023,0.0196667
943,0.0210001,0.0193333
944,0.0190001,0.0195238
945,0.0179999,0.0196667
946,0.0239999,0.0201905
947,0.0190001,0.0203333
948,0.017,0.0207619
949,0.0179999,0.021
950,0.023,0.0211905
951,0.0170002,0.0215238
952,0.0249999,0.022381
953,0.017,0.0227619
954,0.023,0.0229524
955,0.0210001,0.0231905
956,0.0279999,0.0232381
957,0.0240002,0.0234286
958,0.0239999,0.0235238
959,0.0239999,0.0236667
960,0.0220001,0.0238572
961,0.0239999,0.0241429
962,0.039,0.024381
963,0.0310001,0.0245714
964,0.0250001,0.0247143
965,0.0239999,0.0246667
966,0.0190001,0.0249048
967,0.0279999,0.0247619
968,0.0210001,0.0249524
969,0.02,0.0248095
970,0.0220001,0.0247143
971,0.029,0.0249048
972,0.0220001,0.0246667
973,0.029,0.0239524
974,0.02,0.0234286
975,0.0220001,0.0231429
976,0.0259998,0.0232381
977,0.0250001,0.0232381
978,0.0280001,0.0230953
979,0.0209999,0.023
980,0.0220001,0.0234762
981,0.026,0.0234286
982,0.0189998,0.0229048
983,0.0240002,0.0227619
984,0.02,0.022381
985,0.0190001,0.0223333
986,0.026,0.0224286
987,0.0190001,0.0219524
988,0.0249999,0.0219048
989,0.0189998,0.0218095
990,0.03,0.0219524
991,0.0209999,0.02195
992,0.0180001,0.0217368
993,0.0190001,0.0218889
994,0.0209999,0.0217647
995,0.0190001,0.021875
996,0.0239999,0.0220667
997,0.016,0.0217857
998,0.0240002,0.022
999,0.026,0.02175
1000,0.0239999,0.022
