Threads,Time_Seconds
205,0.0250001
206,0.0239999
207,0.02
208,0.0240002
209,0.0239999
210,0.0210001
211,0.0239999
212,0.0210001
213,0.0239999
214,0.0250001
215,0.0209999
216,0.0239999
217,0.02
218,0.026
219,0.02
220,0.0179999
221,0.0250001
222,0.0179999
223,0.0280001
224,0.0190001
225,0.0239999
226,0.0220001
227,0.02
228,0.0249999
229,0.02
230,0.0250001
231,0.0219998
232,0.0210001
233,0.02
234,0.02
235,0.0209999
236,0.02
237,0.0209999
238,0.0239999
239,0.023
240,0.0209999
241,0.0239999
242,0.026
243,0.0239999
244,0.0250001
245,0.0250001
246,0.0239999
247,0.026
248,0.0249999
249,0.026
250,0.0240002
251,0.0249999
252,0.0200002
253,0.0259998
254,0.023
255,0.0270002
256,0.0209999
257,0.029
258,0.023
259,0.027
260,0.0220001
261,0.0239999
262,0.0210001
263,0.03
264,0.0210001
265,0.026
266,0.023
267,0.0239999
268,0.02
269,0.0270002
270,0.0220001
271,0.0239999
272,0.0190001
273,0.023
274,0.02
275,0.0240002
276,0.0209999
277,0.029
278,0.0219998
279,0.0280001
280,0.026
281,0.0420001
282,0.036
283,0.0340002
284,0.027
285,0.0339999
286,0.029
287,0.03
288,0.0250001
289,0.027
290,0.0240002
291,0.027
292,0.0220001
293,0.0250001
294,0.023
295,0.0250001
296,0.026
297,0.0250001
298,0.0239999
299,0.03
300,0.0249999
301,0.0250001
302,0.0259998
303,0.027
304,0.0250001
305,0.0309999
306,0.0240002
307,0.0250001
308,0.0279999
309,0.0249999
310,0.0280001
311,0.029
312,0.023
313,0.023
314,0.0250001
315,0.0249999
316,0.0250001
317,0.0210001
318,0.023
319,0.02
320,0.02
321,0.0239999
322,0.0190001
323,0.027
324,0.0220001
325,0.0239999
326,0.02
327,0.0239999
328,0.023
329,0.0259998
330,0.02
331,0.029
332,0.02
333,0.0210001
334,0.023
335,0.0239999
336,0.0190001
337,0.0250001
338,0.0210001
339,0.026
340,0.0320001
341,0.027
342,0.0250001
343,0.026
344,0.0310001
345,0.0289998
346,0.0239999
347,0.033
348,0.027
349,0.027
350,0.023
351,0.0240002
352,0.033
353,0.0279999
354,0.0280001
355,0.026
356,0.0219998
357,0.02
358,0.0280001
359,0.027
360,0.023
361,0.0280001
362,0.0279999
363,0.026
364,0.026
365,0.0309999
366,0.03
367,0.0309999
368,0.0310001
369,0.029
370,0.03
371,0.0280001
372,0.027
373,0.0350001
374,0.0309999
375,0.033
376,0.027
377,0.0320001
378,0.027
379,0.026
380,0.0240002
381,0.03
382,0.029
383,0.0279999
384,0.027
385,0.0280001
386,0.0279999
387,0.0280001
388,0.0279999
389,0.026
390,0.027
391,0.0270002
392,0.0240002
393,0.0359998
394,0.029
395,0.0249999
396,0.0239999
397,0.0310001
398,0.0309999
399,0.026
400,0.026
401,0.0309999
402,0.026
403,0.027
404,0.0249999
405,0.0210001
406,0.0289998
407,0.0340002
408,0.0319998
409,0.03
410,0.026
411,0.029
412,0.027
413,0.0310001
414,0.023
415,0.0249999
416,0.0240002
417,0.0319998
418,0.0300002
419,0.0309999
420,0.0310001
421,0.0309999
422,0.0310001
423,0.0210001
